ShipmentID,WeightKG,ShipmentType,DeliveryTimeHours
60174,15.9,Land,96
60175,12.51,Land,47
60176,24.42,Sea,126
60177,32.93,Land,89
60178,46.37,Sea,145
60179,30.86,Air,193
60180,41.89,Sea,120
60181,34.96,Air,115
60182,5.53,Air,169
60183,44.64,Land,55
60184,10.38,Sea,170
60185,18.65,Sea,39
60186,42.09,Land,112
60187,48.97,Sea,170
60188,15.88,Sea,17
60189,19.47,Land,172
60190,24.54,Air,145
60191,25.15,Sea,119
60192,37.64,Air,156
60193,40.95,Land,25
60194,49.56,Land,146
60195,40.31,Air,167
60196,15.34,Sea,95
60197,18.23,Air,104
60198,31.09,Sea,111
60199,34.49,Air,39
60200,4.95,Land,177
60201,17.51,Sea,165
60202,10.53,Sea,14
60203,25.64,Sea,67
60204,8.85,Land,53
60205,29.25,Land,136
60206,23.63,Sea,30
60207,20.49,Land,101
60208,32.62,Air,67
60209,21.11,Air,125
60210,20.26,Land,197
60211,32.73,Land,1
60212,3.34,Sea,123
60213,21.91,Land,86
60214,10.17,Sea,127
60215,2.41,Air,164
60216,2.22,Sea,185
60217,8.8,Land,107
60218,21.98,Air,174
60219,28.55,Sea,126
60220,39.9,Land,44
60221,30.58,Land,10
60222,26.24,Land,136
60223,2.3,Air,56
60224,15.25,Land,145
60225,34.77,Air,56
60226,13.89,Land,75
60227,29.92,Land,53
60228,30.39,Air,11
60229,15.6,Air,154
60230,28.79,Air,56
60231,6.14,Sea,96
60232,36.49,Land,81
60233,1.62,Air,114
60234,2.25,Sea,96
60235,43.58,Sea,6
60236,29.22,Air,103
60237,8.56,Land,13
60238,30.28,Air,79
60239,18.81,Air,119
60240,13.86,Land,193
60241,40.66,Sea,190
60242,24.13,Sea,52
60243,15.03,Land,178
60244,47.21,Land,79
60245,8.67,Land,154
60246,7.53,Sea,153
60247,5.32,Land,160
60248,6.66,Air,165
60249,13.01,Air,175
60250,35.08,Land,45
60251,33.76,Air,189
60252,38.29,Land,71
60253,28.99,Sea,93
60254,24.88,Sea,55
60255,21.88,Air,161
60256,43.79,Sea,116
60257,17.5,Land,165
60258,44.63,Air,118
60259,14.14,Land,191
60260,8.29,Land,87
60261,13.13,Land,20
60262,25.2,Sea,145
60263,46.33,Land,39
60264,9.28,Sea,127
60265,29.21,Land,17
60266,11.28,Land,182
60267,34.04,Sea,129
60268,23.52,Air,154
60269,36.81,Air,130
60270,42.88,Sea,173
60271,17.07,Air,179
60272,46.94,Sea,12
60273,23.69,Land,10
60274,46.86,Land,13
60275,11.92,Sea,167
60276,44.91,Air,25
60277,17.02,Air,114
60278,37.66,Air,37
60279,48.43,Land,182
60280,45.65,Air,184
60281,23.45,Land,64
60282,17.57,Land,70
60283,30.83,Land,64
60284,35.44,Land,27
60285,27.24,Land,78
60286,42.5,Sea,182
60287,3.38,Land,123
60288,30.18,Land,155
60289,26.5,Land,100
60290,2.45,Sea,7
60291,1.13,Air,173
60292,30.5,Sea,109
60293,6.34,Sea,198
60294,38.54,Land,159
60295,47.49,Air,199
60296,9.28,Land,13
60297,40.03,Sea,113
60298,29.78,Air,22
60299,22.67,Sea,15
60300,32.69,Sea,171
60301,40.22,Sea,114
60302,48.55,Air,95
60303,33.19,Land,85
60304,37.47,Land,129
60305,30.57,Air,43
60306,28.47,Air,63
60307,3.71,Air,29
60308,8.18,Sea,193
60309,19.27,Land,126
60310,32.65,Sea,92
60311,4.25,Air,122
60312,27.45,Sea,167
60313,1.15,Sea,8
60314,38.42,Air,52
60315,33.51,Air,35
60316,26.27,Air,177
60317,28.77,Land,151
60318,46.67,Air,180
60319,45.38,Land,128
60320,39.74,Air,136
60321,17.14,Sea,162
60322,5.81,Air,184
60323,16.41,Sea,114
60324,37.72,Sea,192
60325,30.74,Land,91
60326,35.43,Sea,82
60327,5.71,Air,129
60328,8.34,Sea,96
60329,33.38,Sea,84
60330,18.9,Sea,68
60331,18.77,Air,168
60332,19.94,Air,157
60333,39.9,Sea,133
60334,35.1,Sea,164
60335,5.75,Land,153
60336,17.55,Sea,198
60337,33.85,Sea,124
60338,48.82,Land,81
60339,45.66,Sea,158
60340,12.79,Air,39
60341,3.77,Sea,24
60342,28.88,Sea,4
60343,20.61,Air,3
60344,9.58,Air,159
60345,32.76,Land,145
60346,8.44,Land,187
60347,17.9,Land,191
60348,39.83,Sea,136
60349,34.37,Sea,153
60350,30.55,Land,139
60351,46.58,Air,154
60352,6.71,Land,158
60353,34.7,Air,190
60354,6.31,Land,138
60355,7.25,Land,137
60356,25.57,Sea,196
60357,1.69,Air,5
60358,25.3,Land,101
60359,0.97,Land,118
60360,30.32,Air,16
60361,15.94,Sea,77
60362,4.62,Air,2
60363,39.15,Land,18
60364,19.8,Air,37
60365,22.48,Air,49
60366,19.04,Air,9
60367,4.64,Land,194
60368,23.27,Air,158
60369,33.44,Sea,55
60370,45.22,Land,18
60371,38.31,Land,168
60372,4.42,Sea,108
60373,8.71,Sea,38
60374,2.72,Land,13
60375,6.41,Land,125
60376,24.29,Sea,26
60377,11.38,Land,31
60378,32.57,Sea,55
60379,2.1,Land,64
60380,42.93,Land,75
60381,34.04,Land,136
60382,48.47,Air,96
60383,47.67,Land,120
60384,34.8,Air,31
60385,8.32,Sea,142
60386,11.49,Land,57
60387,14.24,Land,78
60388,21.62,Air,76
60389,28.76,Sea,16
60390,34.29,Sea,158
60391,4.24,Air,22
60392,30.72,Sea,178
60393,3.43,Air,99
60394,41.44,Land,145
60395,2.5,Air,167
60396,19.81,Air,170
60397,21.29,Sea,119
60398,28.73,Land,23
60399,5.22,Land,197
60400,46.69,Air,192
60401,19.47,Sea,137
60402,20.11,Air,98
60403,12.53,Land,136
60404,39.15,Land,64
60405,0.88,Sea,40
60406,5.76,Land,143
60407,23.8,Land,82
60408,48.43,Air,140
60409,2.26,Air,144
60410,3.57,Land,28
60411,35.89,Sea,188
60412,36.9,Sea,156
60413,44.9,Land,152
60414,29.04,Sea,102
60415,20.48,Land,131
60416,22.83,Land,151
60417,21.86,Air,98
60418,48.69,Air,90
60419,19.31,Sea,50
60420,5.26,Sea,189
60421,14.84,Land,131
60422,48.02,Air,103
60423,21.7,Air,34
60424,16.15,Air,157
60425,15.88,Land,86
60426,0.95,Air,91
60427,31.84,Air,45
60428,36.35,Sea,104
60429,17.97,Air,152
60430,43.7,Sea,84
60431,37.27,Sea,37
60432,30.24,Sea,162
60433,35.34,Land,91
60434,38.59,Sea,49
60435,26.59,Air,80
60436,20.19,Air,149
60437,6.72,Sea,15
60438,20.54,Land,13
60439,27.73,Air,144
60440,47.42,Air,189
60441,8.17,Sea,29
60442,37.97,Sea,185
60443,12.41,Land,36
60444,47.87,Sea,44
60445,29.94,Sea,143
60446,21.92,Air,11
60447,17.67,Sea,11
60448,10.5,Air,28
60449,35.87,Sea,81
60450,31.98,Land,65
60451,44.56,Air,84
60452,30.07,Land,59
60453,8.91,Air,114
60454,34.3,Air,52
60455,44.0,Land,99
60456,49.53,Sea,59
60457,34.41,Sea,14
60458,14.83,Air,35
60459,28.49,Land,3
60460,25.99,Sea,192
60461,25.84,Sea,95
60462,4.39,Sea,39
60463,10.13,Land,71
60464,26.44,Sea,195
60465,40.01,Sea,89
60466,9.5,Air,94
60467,8.63,Air,93
60468,38.11,Land,17
60469,34.68,Air,149
60470,24.51,Sea,144
60471,2.99,Air,50
60472,23.9,Air,153
60473,41.83,Sea,42
60474,1.03,Sea,87
60475,5.58,Land,135
60476,40.56,Land,132
60477,26.5,Sea,60
60478,33.28,Air,67
60479,37.38,Land,174
60480,15.36,Air,61
60481,15.24,Air,198
60482,13.57,Sea,1
60483,8.78,Land,99
60484,15.58,Land,31
60485,47.67,Sea,91
60486,4.76,Land,125
60487,12.41,Sea,31
60488,16.24,Sea,165
60489,8.11,Sea,118
60490,4.33,Air,14
60491,8.51,Sea,67
60492,26.63,Sea,40
60493,30.04,Sea,9
60494,11.16,Sea,117
60495,25.44,Sea,45
60496,0.81,Sea,23
60497,30.3,Land,150
60498,0.56,Land,159
60499,32.32,Air,50
60500,24.42,Sea,191
60501,5.91,Land,187
60502,4.88,Sea,160
60503,0.84,Sea,190
60504,27.81,Land,12
60505,40.42,Land,6
60506,42.9,Land,32
60507,28.68,Air,136
60508,44.41,Land,163
60509,43.17,Sea,79
60510,35.06,Air,58
60511,18.47,Land,22
60512,41.45,Air,59
60513,19.89,Land,46
60514,20.46,Sea,95
60515,34.06,Land,9
60516,46.43,Land,43
60517,25.25,Air,3
60518,9.27,Land,192
60519,7.55,Land,73
60520,15.46,Land,195
60521,23.15,Air,196
60522,15.23,Land,6
60523,35.74,Land,76
60524,27.36,Air,98
60525,20.63,Sea,28
60526,11.06,Air,42
60527,30.47,Sea,150
60528,33.87,Sea,190
60529,39.32,Sea,98
60530,49.55,Sea,155
60531,11.95,Sea,117
60532,1.25,Land,156
60533,25.27,Air,103
60534,46.24,Air,146
60535,12.81,Land,118
60536,37.92,Air,134
60537,16.32,Air,28
60538,19.86,Air,65
60539,47.41,Air,83
60540,23.32,Air,146
60541,36.4,Air,80
60542,27.72,Air,177
60543,38.31,Sea,132
60544,16.21,Air,94
60545,43.91,Air,116
60546,27.67,Land,152
60547,15.8,Sea,12
60548,2.39,Air,139
60549,1.15,Land,138
60550,17.99,Land,143
60551,11.18,Land,61
60552,3.11,Land,147
60553,27.87,Air,7
60554,49.45,Land,189
60555,21.41,Land,68
60556,27.83,Air,190
60557,11.38,Land,99
60558,10.64,Land,196
60559,16.75,Sea,82
60560,41.84,Air,79
60561,48.05,Land,193
60562,37.12,Air,118
60563,1.52,Sea,128
60564,22.2,Sea,147
60565,21.32,Sea,98
60566,46.79,Air,187
60567,37.41,Land,82
60568,35.86,Air,91
60569,28.46,Air,19
60570,32.47,Air,151
60571,35.08,Sea,171
60572,27.85,Air,68
60573,42.32,Land,7
60574,2.33,Land,46
60575,47.1,Sea,89
60576,38.79,Air,174
60577,26.68,Land,159
60578,43.09,Sea,78
60579,41.49,Air,140
60580,21.26,Sea,121
60581,42.07,Land,116
60582,9.82,Sea,22
60583,23.73,Sea,65
60584,12.0,Sea,29
60585,6.66,Land,197
60586,44.78,Air,182
60587,18.66,Sea,121
60588,34.38,Land,109
60589,19.07,Sea,14
60590,27.43,Sea,80
60591,17.73,Land,6
60592,37.26,Sea,92
60593,39.43,Air,65
60594,21.81,Land,198
60595,43.05,Air,130
60596,18.09,Sea,60
60597,38.24,Land,125
60598,32.68,Air,157
60599,23.07,Air,69
60600,44.5,Sea,160
60601,28.83,Sea,79
60602,42.09,Sea,59
60603,36.8,Land,10
60604,26.86,Sea,31
60605,16.66,Sea,124
60606,47.58,Land,146
60607,3.31,Land,44
60608,44.78,Air,198
60609,25.57,Land,59
60610,37.56,Sea,190
60611,17.04,Air,5
60612,19.52,Sea,20
60613,9.94,Air,26
60614,47.74,Land,145
60615,2.64,Air,42
60616,19.65,Sea,125
60617,17.07,Land,169
60618,40.75,Land,142
60619,25.33,Sea,82
60620,8.87,Sea,155
60621,25.7,Sea,95
60622,12.18,Sea,55
60623,1.35,Sea,143
60624,27.45,Land,107
60625,18.34,Land,33
60626,12.32,Air,130
60627,9.03,Air,195
60628,22.96,Sea,84
60629,43.55,Air,2
60630,38.03,Air,128
60631,0.73,Sea,152
60632,36.69,Air,155
60633,4.1,Land,150
60634,27.63,Land,65
60635,39.11,Land,31
60636,22.94,Sea,13
60637,19.15,Land,101
60638,47.0,Land,149
60639,1.95,Air,53
60640,5.75,Air,40
60641,43.58,Land,27
60642,44.37,Sea,101
60643,18.95,Air,40
60644,27.24,Sea,100
60645,8.64,Air,45
60646,44.27,Air,182
60647,23.72,Sea,125
60648,28.42,Air,188
60649,6.34,Land,113
60650,30.93,Land,64
60651,34.94,Land,36
60652,15.09,Land,167
60653,44.86,Land,1
60654,10.59,Sea,126
60655,44.92,Land,176
60656,35.32,Air,106
60657,41.63,Land,122
60658,35.1,Sea,72
60659,21.71,Air,66
60660,16.91,Air,151
60661,36.84,Sea,61
60662,15.26,Air,115
60663,3.56,Sea,181
60664,12.73,Sea,85
60665,37.88,Air,35
60666,39.76,Sea,193
60667,14.19,Sea,148
60668,16.73,Land,187
60669,27.69,Air,102
60670,13.47,Land,180
60671,30.51,Sea,175
60672,14.46,Air,49
60673,6.48,Air,130
60674,8.16,Air,144
60675,12.9,Air,24
60676,8.81,Air,93
60677,48.73,Land,133
60678,33.09,Land,12
60679,9.37,Land,67
60680,21.48,Sea,66
60681,13.82,Air,166
60682,34.38,Air,60
60683,43.43,Land,95
60684,20.34,Sea,70
60685,21.73,Land,196
60686,20.22,Air,93
60687,22.74,Sea,52
60688,2.27,Land,62
60689,29.83,Land,163
60690,47.63,Sea,155
60691,39.37,Sea,1
60692,43.14,Sea,41
60693,11.84,Air,153
60694,30.56,Land,151
60695,44.7,Sea,115
60696,3.9,Air,178
60697,43.92,Sea,20
60698,3.69,Air,11
60699,49.16,Air,105
60700,4.65,Sea,89
60701,18.71,Sea,71
60702,3.21,Air,132
60703,3.31,Air,185
60704,43.38,Sea,134
60705,3.65,Air,141
60706,39.73,Land,117
60707,45.39,Air,148
60708,46.78,Land,114
60709,43.27,Air,62
60710,47.78,Land,127
60711,3.06,Land,34
60712,49.83,Air,118
60713,1.51,Land,6
60714,8.74,Air,73
60715,4.51,Sea,94
60716,37.33,Air,190
60717,4.81,Air,27
60718,14.99,Sea,137
60719,32.08,Land,74
60720,25.15,Air,38
60721,7.24,Air,129
60722,26.32,Land,131
60723,17.36,Sea,34
60724,29.5,Land,55
60725,27.16,Sea,113
60726,49.48,Land,164
60727,43.24,Land,33
60728,0.68,Sea,44
60729,9.21,Sea,48
60730,45.7,Land,173
60731,27.2,Land,195
60732,38.09,Sea,180
60733,25.42,Air,159
60734,39.4,Land,6
60735,7.07,Land,16
60736,37.03,Air,171
60737,43.55,Sea,77
60738,13.65,Land,193
60739,18.73,Sea,46
60740,29.73,Air,188
60741,43.48,Sea,182
60742,45.44,Sea,137
60743,26.95,Air,178
60744,33.07,Land,111
60745,43.71,Sea,125
60746,11.95,Land,98
60747,41.35,Air,162
60748,13.46,Air,181
60749,29.26,Land,193
60750,46.77,Air,37
60751,25.82,Land,23
60752,5.12,Sea,123
60753,44.84,Air,146
60754,29.46,Land,140
60755,4.02,Air,110
60756,1.02,Air,133
60757,13.43,Land,20
60758,6.45,Land,83
60759,31.61,Land,183
60760,30.04,Land,194
60761,42.12,Air,4
60762,25.91,Land,27
60763,13.03,Land,162
60764,2.99,Land,117
60765,1.02,Sea,102
60766,46.33,Air,199
60767,7.65,Sea,29
60768,25.21,Land,40
60769,39.84,Air,55
60770,46.47,Land,106
60771,10.48,Sea,186
60772,11.98,Air,169
60773,9.4,Land,11
60774,8.37,Air,194
60775,23.02,Sea,41
60776,31.98,Air,134
60777,35.46,Sea,64
60778,16.7,Sea,157
60779,31.38,Sea,14
60780,0.62,Air,79
60781,44.47,Air,179
60782,43.55,Air,47
60783,27.43,Air,176
60784,12.55,Land,47
60785,48.63,Land,133
60786,40.63,Land,75
60787,1.34,Air,101
60788,23.75,Sea,87
60789,5.55,Sea,113
60790,7.05,Land,146
60791,0.56,Land,74
60792,34.54,Air,123
60793,13.0,Air,47
60794,15.59,Land,85
60795,2.83,Air,198
60796,0.89,Land,112
60797,39.74,Land,76
60798,33.24,Air,134
60799,19.42,Air,140
60800,3.96,Land,103
60801,38.9,Land,2
60802,46.35,Sea,76
60803,26.61,Land,131
60804,7.38,Air,153
60805,32.8,Air,24
60806,4.04,Air,63
60807,8.69,Sea,174
60808,23.8,Sea,161
60809,12.83,Air,199
60810,46.55,Land,11
60811,40.54,Land,6
60812,14.2,Land,89
60813,48.21,Land,116
60814,19.23,Air,50
60815,28.63,Sea,197
60816,28.42,Land,108
60817,32.65,Air,76
60818,12.56,Air,85
60819,46.14,Land,114
60820,13.65,Land,192
60821,33.41,Land,98
60822,38.41,Sea,62
60823,44.13,Land,79
60824,23.12,Land,185
60825,35.73,Air,17
60826,4.73,Sea,70
60827,39.01,Air,22
60828,37.91,Air,23
60829,20.82,Air,46
60830,16.02,Land,49
60831,19.32,Land,198
60832,4.98,Land,148
60833,32.07,Land,154
60834,45.7,Land,112
60835,33.45,Air,191
60836,29.24,Sea,126
60837,49.54,Sea,19
60838,27.32,Sea,4
60839,17.62,Land,72
60840,35.38,Air,56
60841,26.31,Sea,35
60842,48.62,Sea,92
60843,44.95,Sea,171
60844,47.37,Land,115
60845,0.55,Land,51
60846,17.04,Sea,154
60847,31.55,Land,48
60848,15.76,Land,160
60849,32.99,Sea,115
60850,35.89,Land,94
60851,31.35,Air,150
60852,23.18,Air,51
60853,34.99,Sea,117
60854,39.13,Land,160
60855,34.96,Sea,14
60856,40.69,Land,1
60857,47.39,Air,107
60858,5.57,Land,171
60859,45.37,Air,23
60860,14.04,Land,28
60861,28.41,Air,150
60862,47.15,Sea,177
60863,31.19,Land,138
60864,4.67,Sea,123
60865,25.21,Land,189
60866,44.77,Sea,164
60867,20.9,Air,89
60868,42.47,Sea,32
60869,39.81,Air,151
60870,45.37,Sea,174
60871,13.52,Sea,145
60872,25.08,Air,181
60873,17.09,Air,113
60874,26.95,Land,52
60875,1.45,Land,178
60876,12.46,Land,42
60877,48.71,Sea,114
60878,30.35,Land,182
60879,9.08,Air,62
60880,25.66,Land,24
60881,35.05,Land,57
60882,30.38,Air,134
60883,25.35,Air,83
60884,33.86,Land,115
60885,8.76,Air,83
60886,22.19,Air,115
60887,37.64,Land,76
60888,29.18,Land,160
60889,45.36,Sea,153
60890,22.47,Sea,64
60891,7.04,Air,4
60892,2.91,Sea,167
60893,24.13,Air,130
60894,22.16,Air,151
60895,13.2,Land,199
60896,29.73,Sea,84
60897,12.88,Air,36
60898,11.21,Sea,188
60899,31.3,Sea,181
60900,47.27,Air,17
60901,10.54,Sea,86
60902,9.55,Land,71
60903,26.21,Sea,104
60904,6.41,Land,87
60905,15.06,Air,74
60906,49.54,Sea,193
60907,42.13,Air,60
60908,35.45,Air,110
60909,1.79,Air,40
60910,13.62,Air,49
60911,28.7,Land,56
60912,35.66,Sea,81
60913,33.58,Air,10
60914,9.68,Land,122
60915,23.58,Sea,163
60916,10.33,Sea,138
60917,46.22,Air,43
60918,28.09,Sea,20
60919,19.82,Air,145
60920,45.94,Land,39
60921,45.25,Sea,50
60922,25.45,Air,92
60923,34.5,Land,73
60924,16.28,Air,198
60925,15.73,Sea,176
60926,27.7,Land,161
60927,42.41,Air,35
60928,30.06,Land,150
60929,23.22,Land,151
60930,33.38,Land,46
60931,40.71,Sea,89
60932,39.47,Sea,119
60933,18.84,Sea,7
60934,46.82,Sea,15
60935,1.28,Sea,93
60936,22.81,Land,165
60937,45.42,Land,74
60938,34.95,Sea,60
60939,35.35,Air,178
60940,8.25,Air,109
60941,29.31,Sea,13
60942,48.36,Sea,147
60943,10.97,Land,49
60944,16.7,Land,23
60945,19.74,Sea,55
60946,18.31,Sea,143
60947,31.54,Air,10
60948,12.11,Air,184
60949,25.53,Land,116
60950,20.31,Air,104
60951,32.4,Land,63
60952,12.48,Air,185
60953,27.88,Sea,46
60954,37.15,Air,161
60955,34.8,Land,56
60956,41.8,Air,109
60957,47.83,Land,18
60958,42.77,Land,68
60959,46.94,Land,59
60960,1.37,Land,132
60961,31.63,Sea,143
60962,13.75,Air,159
60963,40.55,Air,2
60964,41.04,Air,62
60965,2.86,Sea,161
60966,29.98,Air,174
60967,42.62,Sea,178
60968,29.58,Land,148
60969,21.56,Land,194
60970,4.3,Sea,65
60971,36.65,Sea,84
60972,4.19,Sea,24
60973,30.1,Sea,142
60974,45.92,Air,49
60975,21.25,Air,101
60976,38.62,Land,169
60977,40.09,Land,157
60978,1.01,Sea,149
60979,45.79,Air,32
60980,9.84,Sea,187
60981,14.49,Sea,128
60982,43.6,Land,53
60983,34.49,Air,87
60984,18.91,Land,63
60985,4.85,Sea,199
60986,19.62,Land,151
60987,48.33,Land,81
60988,5.68,Land,34
60989,42.38,Air,165
60990,16.6,Land,133
60991,32.9,Sea,42
60992,31.76,Air,72
60993,16.62,Sea,88
60994,3.19,Air,153
60995,7.87,Air,46
60996,28.51,Air,27
60997,47.47,Land,96
60998,46.33,Air,135
60999,6.12,Land,188
61000,43.82,Sea,12
61001,12.07,Air,112
61002,45.54,Air,135
61003,38.05,Air,109
61004,48.08,Air,173
61005,22.37,Sea,136
61006,36.71,Land,132
61007,36.9,Sea,156
61008,25.06,Land,46
61009,48.74,Land,189
61010,12.56,Air,112
61011,49.32,Sea,40
61012,40.7,Land,34
61013,31.0,Land,116
61014,4.24,Air,27
61015,13.34,Sea,154
61016,42.14,Air,139
61017,36.54,Land,1
61018,48.15,Air,149
61019,20.14,Sea,32
61020,44.78,Air,188
61021,43.16,Sea,68
61022,48.32,Land,130
61023,13.99,Land,84
61024,24.98,Sea,54
61025,4.51,Air,137
61026,29.75,Sea,197
61027,36.75,Sea,138
61028,12.28,Land,73
61029,8.9,Air,3
61030,32.16,Sea,31
61031,19.96,Sea,99
61032,21.61,Air,132
61033,23.82,Land,135
61034,25.82,Land,16
61035,10.18,Air,16
61036,29.1,Land,92
61037,3.92,Land,103
61038,6.12,Air,114
61039,35.72,Air,13
61040,36.71,Land,189
61041,13.68,Land,173
61042,9.64,Sea,196
61043,3.17,Land,152
61044,21.23,Sea,86
61045,25.7,Air,188
61046,45.02,Sea,126
61047,0.62,Land,188
61048,20.59,Sea,5
61049,21.25,Land,121
61050,44.38,Land,98
61051,10.2,Land,104
61052,3.78,Air,160
61053,19.39,Sea,88
61054,30.81,Sea,101
61055,42.98,Sea,136
61056,13.82,Sea,175
61057,12.94,Land,73
61058,16.64,Sea,130
61059,6.35,Sea,65
61060,48.87,Air,117
61061,27.26,Air,199
61062,13.98,Sea,170
61063,18.41,Air,20
61064,43.36,Air,139
61065,33.85,Air,109
61066,27.88,Land,2
61067,36.38,Air,97
61068,37.91,Air,86
61069,10.11,Sea,92
61070,8.35,Sea,159
61071,48.35,Land,10
61072,9.69,Air,86
61073,23.51,Sea,59
61074,49.15,Land,107
61075,21.15,Sea,114
61076,25.99,Sea,135
61077,40.02,Air,37
61078,17.35,Sea,13
61079,21.84,Air,118
61080,16.94,Air,154
61081,14.73,Sea,3
61082,23.85,Land,39
61083,37.42,Sea,138
61084,43.43,Land,165
61085,23.77,Sea,23
61086,16.39,Air,20
61087,45.62,Land,34
61088,17.13,Sea,4
61089,38.86,Sea,160
61090,37.56,Air,109
61091,2.96,Sea,170
61092,9.29,Air,146
61093,28.86,Land,52
61094,43.45,Sea,129
61095,29.9,Sea,87
61096,37.26,Air,108
61097,36.85,Air,132
61098,24.97,Sea,174
61099,28.26,Land,159
61100,4.03,Air,66
61101,46.42,Land,178
61102,33.88,Land,80
61103,8.15,Land,105
61104,12.58,Air,149
61105,0.73,Air,120
61106,13.57,Land,149
61107,16.17,Air,194
61108,34.32,Sea,52
61109,24.09,Land,36
61110,42.22,Sea,71
61111,4.8,Air,143
61112,35.5,Sea,101
61113,43.81,Land,73
61114,21.36,Sea,129
61115,14.79,Air,16
61116,22.56,Sea,138
61117,39.55,Land,39
61118,45.99,Sea,11
61119,3.75,Air,30
61120,26.66,Air,168
61121,32.17,Sea,161
61122,1.37,Land,135
61123,9.47,Sea,134
61124,3.6,Land,124
61125,14.87,Sea,178
61126,10.67,Air,180
61127,24.6,Land,177
61128,32.94,Land,124
61129,42.19,Land,21
61130,15.56,Air,68
61131,3.0,Air,111
