OrderID,CustomerID,OrderDate,ShipmentDate,EmployeeID,RouteID,VehicleID,DriverID,ShipmentCost,DeliveryStatus
60040,14663,2023-04-14,2023-03-27,2084,5128,4072,3174,204.45,On Time
60041,14327,2023-03-30,2023-03-08,2013,5038,4110,3075,664.0,On Time
60042,10874,2023-01-06,2023-02-23,2005,5068,4100,3042,912.24,On Time
60043,12622,2023-04-20,2023-01-19,2060,5037,4059,3097,297.2,On Time
60044,14336,2023-04-22,2023-01-29,2088,5120,4036,3167,380.53,On Time
60045,10090,2023-05-30,2023-05-13,2017,5035,4034,3198,805.37,Delayed
60046,12280,2023-05-07,2023-02-12,2057,5134,4130,3103,748.61,On Time
60047,10457,2023-05-16,2023-05-07,2031,5110,4013,3047,438.22,On Time
60048,12281,2023-03-04,2023-04-28,2092,5116,4057,3166,856.12,Cancelled
60049,14450,2023-05-21,2023-05-15,2065,5110,4007,3018,924.56,On Time
60050,11005,2023-05-26,2023-04-13,2066,5102,4059,3002,480.01,Delayed
60051,14535,2023-01-18,2023-05-18,2033,5099,4111,3105,87.48,Delayed
60052,10345,2023-03-18,2023-05-29,2093,5142,4116,3102,533.97,On Time
60053,12712,2023-05-22,2023-02-08,2004,5147,4051,3182,752.7,On Time
60054,14753,2023-05-19,2023-02-20,2082,5139,4003,3209,259.03,On Time
60055,12463,2023-04-13,2023-03-02,2055,5071,4054,3216,144.46,On Time
60056,11117,2023-04-27,2023-05-22,2024,5088,4094,3260,320.95,On Time
60057,10626,2023-01-17,2023-04-30,2032,5088,4034,3007,61.01,On Time
60058,14380,2023-01-14,2023-04-10,2073,5078,4023,3207,729.7,On Time
60059,11980,2023-02-26,2023-04-05,2047,5011,4048,3057,188.76,Delayed
60060,13995,2023-04-03,2023-03-10,2016,5127,4055,3030,737.47,Delayed
60061,11679,2023-05-14,2023-06-03,2021,5079,4017,3251,272.82,On Time
60062,10223,2023-04-24,2023-06-09,2094,5074,4079,3221,992.46,On Time
60063,10744,2023-05-12,2023-05-21,2067,5017,4062,3241,555.21,Cancelled
60064,10463,2023-05-19,2023-03-06,2097,5138,4125,3172,89.27,On Time
60065,11569,2023-04-19,2023-03-21,2031,5006,4061,3245,784.04,Delayed
60066,13348,2023-04-29,2023-02-23,2014,5148,4044,3205,439.59,On Time
60067,11737,2023-04-02,2023-01-27,2006,5001,4071,3231,626.96,On Time
60068,14040,2023-01-11,2023-05-19,2069,5064,4125,3036,953.65,On Time
60069,13952,2023-04-09,2023-05-21,2029,5001,4128,3099,541.41,On Time
60070,10665,2023-01-08,2023-05-31,2055,5101,4003,3258,814.16,Delayed
60071,11357,2023-04-24,2023-01-22,2037,5001,4067,3142,337.65,On Time
60072,11015,2023-05-29,2023-03-13,2059,5109,4112,3208,728.79,On Time
60073,12133,2023-03-06,2023-03-24,2036,5060,4099,3113,144.36,Delayed
60074,12669,2023-04-03,2023-06-05,2085,5043,4136,3100,898.68,On Time
60075,11055,2023-06-01,2023-03-02,2076,5038,4120,3104,239.76,On Time
60076,11765,2023-04-14,2023-04-10,2059,5107,4143,3240,336.83,Delayed
60077,14459,2023-04-09,2023-02-17,2087,5002,4133,3241,960.3,Delayed
60078,12870,2023-03-25,2023-05-24,2078,5082,4141,3291,197.45,Cancelled
60079,11413,2023-03-14,2023-01-25,2064,5140,4103,3149,291.69,On Time
60080,10668,2023-05-25,2023-01-11,2043,5111,4140,3220,601.17,On Time
60081,13371,2023-02-28,2023-05-01,2042,5009,4063,3082,981.66,On Time
60082,11395,2023-01-31,2023-06-02,2074,5136,4136,3288,706.85,On Time
60083,10099,2023-03-05,2023-03-30,2060,5080,4034,3151,158.48,On Time
60084,14071,2023-02-17,2023-04-15,2062,5062,4022,3134,760.71,On Time
60085,10422,2023-01-23,2023-05-05,2064,5023,4050,3285,454.9,On Time
60086,13651,2023-02-24,2023-02-04,2091,5093,4140,3225,992.71,Delayed
60087,14158,2023-01-07,2023-02-11,2058,5059,4150,3125,647.28,On Time
60088,11133,2023-04-22,2023-01-12,2002,5010,4091,3096,555.36,On Time
60089,11703,2023-04-16,2023-01-02,2078,5140,4082,3240,579.4,On Time
60090,13621,2023-04-08,2023-06-08,2071,5125,4019,3085,659.48,On Time
60091,13191,2023-01-12,2023-03-24,2081,5116,4123,3084,745.24,Delayed
60092,10598,2023-03-01,2023-01-27,2084,5074,4133,3272,124.41,Delayed
60093,10392,2023-02-21,2023-02-23,2008,5041,4016,3006,174.14,On Time
60094,11076,2023-05-20,2023-05-06,2056,5103,4113,3007,335.45,On Time
60095,12651,2023-05-21,2023-01-10,2084,5007,4019,3014,504.06,Delayed
60096,12385,2023-03-13,2023-01-10,2036,5094,4108,3003,345.51,Delayed
60097,10810,2023-05-05,2023-05-10,2069,5116,4022,3225,253.15,Delayed
60098,13310,2023-03-01,2023-03-01,2013,5105,4145,3292,928.78,On Time
60099,13739,2023-01-31,2023-04-17,2039,5052,4035,3285,80.97,On Time
60100,11160,2023-03-18,2023-05-06,2081,5045,4073,3168,941.76,Cancelled
60101,11532,2023-03-17,2023-01-17,2006,5038,4055,3132,911.88,On Time
60102,14977,2023-03-02,2023-02-08,2019,5081,4133,3121,699.59,On Time
60103,12683,2023-01-02,2023-05-20,2025,5085,4073,3236,80.91,On Time
60104,10254,2023-05-01,2023-06-03,2003,5058,4115,3023,264.09,On Time
60105,13549,2023-02-28,2023-03-01,2053,5046,4011,3102,980.15,On Time
60106,13186,2023-02-09,2023-01-30,2028,5123,4078,3132,910.65,Delayed
60107,11232,2023-02-01,2023-01-09,2026,5146,4110,3274,966.34,On Time
60108,12424,2023-02-07,2023-04-09,2047,5130,4084,3001,996.32,Cancelled
60109,13576,2023-04-02,2023-05-15,2008,5104,4097,3032,110.69,Delayed
60110,14262,2023-03-29,2023-04-20,2057,5112,4132,3149,592.32,On Time
60111,11574,2023-05-21,2023-04-19,2055,5132,4127,3166,842.43,On Time
60112,12909,2023-03-26,2023-05-30,2079,5096,4080,3297,353.72,On Time
60113,14713,2023-03-17,2023-02-27,2001,5083,4115,3177,463.78,Delayed
60114,11626,2023-05-08,2023-03-18,2040,5049,4064,3093,319.55,On Time
60115,13999,2023-01-13,2023-04-24,2023,5117,4067,3117,86.17,On Time
60116,13884,2023-02-08,2023-01-07,2100,5135,4096,3096,119.08,On Time
60117,13516,2023-01-23,2023-05-05,2054,5009,4034,3059,70.37,On Time
60118,13404,2023-04-20,2023-05-15,2042,5027,4113,3141,550.88,On Time
60119,14599,2023-04-17,2023-02-23,2080,5149,4089,3051,637.5,On Time
60120,14681,2023-04-02,2023-05-13,2050,5035,4135,3255,342.32,On Time
60121,11959,2023-05-22,2023-01-10,2004,5088,4025,3091,834.84,On Time
60122,14010,2023-05-25,2023-03-11,2008,5093,4028,3177,893.61,On Time
60123,12736,2023-01-24,2023-03-16,2036,5067,4069,3103,182.76,Delayed
60124,14492,2023-02-03,2023-04-22,2010,5043,4076,3142,99.33,On Time
60125,13175,2023-04-22,2023-03-29,2030,5008,4082,3030,353.41,On Time
60126,10402,2023-05-18,2023-01-05,2100,5121,4136,3142,727.34,On Time
60127,10975,2023-04-28,2023-02-07,2016,5078,4119,3203,532.05,On Time
60128,10224,2023-05-29,2023-03-13,2030,5036,4094,3223,513.69,Delayed
60129,14614,2023-01-07,2023-01-07,2064,5127,4137,3003,194.79,On Time
60130,10236,2023-03-31,2023-02-21,2074,5048,4112,3039,383.88,On Time
60131,13499,2023-01-13,2023-04-10,2011,5135,4043,3275,960.95,On Time
60132,14212,2023-03-21,2023-04-07,2034,5074,4025,3098,373.53,On Time
60133,13235,2023-01-30,2023-05-23,2080,5140,4094,3128,611.86,On Time
60134,10226,2023-05-13,2023-01-12,2055,5055,4066,3167,105.43,On Time
60135,12278,2023-01-16,2023-01-11,2083,5023,4017,3266,110.66,On Time
60136,14278,2023-05-30,2023-01-14,2004,5013,4109,3151,453.04,On Time
60137,11342,2023-02-09,2023-05-02,2049,5053,4135,3248,623.91,Delayed
60138,14037,2023-02-06,2023-03-02,2044,5063,4022,3059,403.72,On Time
60139,10210,2023-03-19,2023-01-06,2031,5074,4010,3218,220.06,On Time
60140,13728,2023-01-16,2023-06-10,2048,5051,4090,3083,749.16,On Time
60141,13929,2023-02-12,2023-01-13,2099,5007,4141,3102,183.04,On Time
60142,14990,2023-03-04,2023-05-22,2098,5119,4042,3148,684.62,On Time
60143,12804,2023-01-15,2023-03-27,2026,5050,4028,3244,958.9,On Time
60144,11110,2023-05-17,2023-04-28,2070,5087,4100,3300,497.01,On Time
60145,12027,2023-03-06,2023-05-03,2097,5044,4011,3274,240.41,Delayed
60146,10394,2023-02-13,2023-02-11,2091,5036,4137,3048,849.88,On Time
60147,10844,2023-01-20,2023-02-18,2012,5097,4081,3250,530.2,Delayed
60148,11525,2023-04-29,2023-02-21,2045,5103,4055,3217,927.06,On Time
60149,10604,2023-04-22,2023-04-29,2008,5125,4005,3235,734.56,On Time
60150,10582,2023-05-03,2023-04-07,2009,5007,4069,3001,459.08,Cancelled
60151,11940,2023-03-21,2023-03-18,2001,5094,4038,3097,636.52,Cancelled
60152,10133,2023-04-10,2023-02-16,2005,5121,4066,3263,211.47,On Time
60153,12839,2023-01-06,2023-04-11,2071,5109,4064,3090,417.87,On Time
60154,13386,2023-03-24,2023-02-08,2082,5037,4077,3199,614.18,Delayed
60155,13771,2023-01-31,2023-04-03,2054,5021,4019,3100,610.54,On Time
60156,12269,2023-03-07,2023-05-22,2024,5098,4099,3152,607.85,Delayed
60157,10976,2023-01-18,2023-05-31,2026,5046,4025,3069,756.36,On Time
60158,11814,2023-01-28,2023-05-11,2010,5021,4048,3214,150.37,Delayed
60159,13264,2023-03-09,2023-04-04,2061,5098,4073,3108,119.97,On Time
60160,11544,2023-04-24,2023-03-19,2040,5072,4035,3164,190.62,Cancelled
60161,12836,2023-02-27,2023-01-14,2044,5096,4143,3248,802.77,On Time
60162,12739,2023-05-09,2023-02-27,2012,5052,4049,3198,111.61,On Time
60163,11358,2023-02-08,2023-05-28,2022,5029,4149,3279,263.97,On Time
60164,14135,2023-04-16,2023-05-18,2027,5069,4089,3012,292.04,On Time
60165,11317,2023-01-01,2023-04-27,2067,5027,4086,3156,664.89,On Time
60166,10162,2023-03-16,2023-04-06,2082,5111,4131,3186,431.55,Delayed
60167,11910,2023-03-29,2023-06-05,2069,5138,4125,3236,239.04,On Time
60168,11128,2023-05-22,2023-05-11,2014,5036,4073,3224,477.06,On Time
60169,13871,2023-05-31,2023-03-21,2025,5095,4111,3034,701.18,On Time
60170,11659,2023-05-30,2023-02-27,2052,5016,4145,3101,796.75,Cancelled
60171,13126,2023-03-01,2023-04-06,2095,5090,4105,3254,167.69,On Time
60172,11964,2023-05-10,2023-02-27,2085,5108,4088,3274,728.98,On Time
60173,12290,2023-04-20,2023-05-25,2059,5084,4008,3163,54.3,Delayed
60174,10967,2023-01-19,2023-04-18,2038,5068,4134,3037,738.11,Delayed
60175,10890,2023-03-03,2023-03-21,2020,5059,4009,3297,677.95,On Time
60176,13062,2023-03-12,2023-05-15,2078,5031,4015,3211,495.23,On Time
60177,13630,2023-04-21,2023-01-15,2020,5066,4064,3086,180.03,On Time
60178,13190,2023-05-13,2023-01-28,2056,5089,4124,3091,776.32,On Time
60179,12749,2023-03-13,2023-02-08,2030,5003,4011,3251,118.17,Delayed
60180,11667,2023-03-19,2023-05-28,2041,5107,4095,3208,900.79,Delayed
60181,13067,2023-04-10,2023-05-08,2084,5069,4120,3295,784.79,On Time
60182,11442,2023-03-12,2023-01-05,2071,5022,4045,3260,753.92,On Time
60183,11068,2023-01-07,2023-02-28,2063,5080,4077,3113,766.67,On Time
60184,14224,2023-02-19,2023-05-18,2069,5053,4094,3275,114.19,On Time
60185,12924,2023-02-15,2023-04-24,2095,5076,4059,3092,990.45,Delayed
60186,14254,2023-03-13,2023-05-24,2029,5042,4140,3273,865.67,On Time
60187,13857,2023-03-17,2023-01-05,2079,5004,4085,3173,532.54,On Time
60188,10827,2023-03-15,2023-02-22,2089,5113,4026,3130,733.43,On Time
60189,14608,2023-05-22,2023-05-27,2077,5042,4114,3088,752.29,Delayed
60190,13986,2023-03-14,2023-04-10,2044,5097,4037,3246,838.3,On Time
60191,12093,2023-04-12,2023-04-04,2088,5126,4023,3055,292.61,On Time
60192,13180,2023-04-04,2023-04-28,2079,5003,4065,3004,403.45,On Time
60193,14539,2023-03-10,2023-01-05,2088,5081,4045,3029,809.7,On Time
60194,13902,2023-03-06,2023-03-27,2090,5139,4074,3189,780.53,Cancelled
60195,12363,2023-03-03,2023-01-08,2083,5081,4102,3046,546.48,On Time
60196,12225,2023-01-20,2023-05-06,2057,5105,4028,3097,426.4,On Time
60197,11727,2023-02-13,2023-06-01,2024,5124,4129,3049,970.02,On Time
60198,12007,2023-03-03,2023-03-27,2019,5099,4072,3120,444.27,On Time
60199,10267,2023-04-17,2023-03-05,2017,5006,4041,3146,775.79,On Time
60200,10838,2023-05-05,2023-05-04,2069,5032,4023,3249,442.01,Delayed
60201,14585,2023-02-14,2023-03-31,2061,5011,4087,3074,344.34,On Time
60202,14798,2023-01-11,2023-04-06,2004,5043,4007,3273,658.95,Delayed
60203,10687,2023-03-29,2023-04-30,2022,5039,4072,3107,817.24,Delayed
60204,13362,2023-02-15,2023-02-14,2074,5141,4043,3184,982.31,Delayed
60205,10357,2023-04-22,2023-04-13,2085,5013,4142,3071,191.46,On Time
60206,13816,2023-03-22,2023-02-15,2089,5039,4014,3020,882.31,On Time
60207,10872,2023-02-01,2023-04-28,2006,5068,4100,3157,547.93,On Time
60208,11974,2023-04-08,2023-02-21,2030,5104,4111,3225,152.36,On Time
60209,14648,2023-01-05,2023-03-07,2093,5065,4091,3178,804.66,On Time
60210,11811,2023-01-29,2023-02-24,2075,5113,4084,3118,364.97,On Time
60211,14419,2023-02-17,2023-03-14,2011,5007,4102,3159,874.84,On Time
60212,12642,2023-01-16,2023-05-01,2048,5003,4014,3013,199.91,On Time
60213,12229,2023-03-13,2023-05-24,2046,5086,4028,3056,725.54,On Time
60214,13392,2023-01-29,2023-01-20,2027,5049,4030,3240,335.76,On Time
60215,14179,2023-02-15,2023-01-11,2019,5058,4079,3275,294.48,On Time
60216,12351,2023-01-23,2023-01-17,2086,5028,4054,3156,97.75,On Time
60217,14358,2023-04-04,2023-06-09,2092,5115,4140,3080,507.81,Delayed
60218,14880,2023-04-24,2023-04-19,2059,5022,4114,3114,421.93,On Time
60219,12740,2023-02-03,2023-01-17,2068,5094,4120,3033,108.61,On Time
60220,12731,2023-04-27,2023-03-22,2054,5101,4075,3114,265.31,Cancelled
60221,11319,2023-01-29,2023-01-29,2083,5071,4070,3063,512.91,On Time
60222,11536,2023-01-09,2023-05-29,2017,5114,4067,3026,817.86,On Time
60223,14785,2023-02-08,2023-01-10,2050,5013,4015,3087,932.98,On Time
60224,12444,2023-05-15,2023-04-15,2040,5150,4132,3257,539.57,On Time
60225,11773,2023-04-20,2023-05-19,2100,5005,4098,3093,433.14,On Time
60226,13210,2023-03-10,2023-02-15,2087,5022,4102,3200,957.02,Delayed
60227,14935,2023-05-16,2023-04-20,2092,5127,4105,3205,964.72,On Time
60228,10878,2023-04-06,2023-05-24,2011,5053,4086,3084,230.89,On Time
60229,12871,2023-04-29,2023-01-31,2014,5039,4037,3107,554.88,Delayed
60230,13201,2023-04-28,2023-02-18,2013,5037,4123,3247,829.86,On Time
60231,14145,2023-01-18,2023-04-02,2088,5031,4132,3005,831.15,On Time
60232,13748,2023-04-12,2023-04-02,2080,5062,4010,3268,700.73,On Time
60233,12837,2023-04-20,2023-03-16,2028,5103,4027,3014,497.9,Delayed
60234,10293,2023-03-23,2023-02-14,2094,5081,4084,3218,433.47,On Time
60235,11652,2023-04-15,2023-05-15,2044,5127,4005,3234,816.09,On Time
60236,14632,2023-01-16,2023-04-28,2063,5006,4099,3045,264.44,Delayed
60237,14407,2023-01-21,2023-01-25,2061,5105,4129,3160,457.01,On Time
60238,10537,2023-05-18,2023-01-08,2091,5081,4031,3158,588.52,Delayed
60239,12687,2023-04-16,2023-01-07,2017,5087,4019,3268,840.19,Delayed
60240,10234,2023-05-12,2023-04-29,2050,5052,4054,3100,405.16,Cancelled
60241,12653,2023-02-13,2023-03-27,2026,5013,4128,3083,571.22,Delayed
60242,12375,2023-05-03,2023-04-21,2007,5053,4132,3044,315.21,On Time
60243,12273,2023-05-16,2023-05-26,2099,5148,4048,3153,845.07,On Time
60244,10967,2023-04-21,2023-02-01,2079,5134,4049,3170,796.26,Delayed
60245,10890,2023-04-27,2023-05-20,2016,5055,4117,3021,829.09,On Time
60246,13864,2023-05-06,2023-05-14,2085,5059,4056,3250,104.6,On Time
60247,13401,2023-01-19,2023-03-06,2017,5147,4074,3189,512.55,On Time
60248,10035,2023-03-05,2023-03-18,2090,5098,4006,3021,179.05,On Time
60249,14543,2023-02-09,2023-05-12,2035,5141,4076,3282,690.07,Delayed
60250,13524,2023-02-20,2023-02-26,2084,5074,4113,3160,345.82,On Time
60251,11764,2023-05-17,2023-03-05,2084,5061,4126,3219,785.85,Cancelled
60252,13292,2023-02-25,2023-04-16,2023,5045,4036,3017,111.91,On Time
60253,12489,2023-03-22,2023-02-08,2069,5135,4025,3004,537.6,On Time
60254,12701,2023-05-23,2023-02-24,2009,5086,4055,3039,167.48,On Time
60255,11559,2023-03-11,2023-05-11,2087,5014,4057,3271,580.0,Cancelled
60256,14691,2023-05-08,2023-01-03,2018,5036,4150,3289,626.98,Delayed
60257,12277,2023-05-06,2023-05-21,2093,5008,4071,3189,489.04,Cancelled
60258,14007,2023-03-02,2023-02-10,2075,5012,4048,3142,315.66,Cancelled
60259,14440,2023-03-21,2023-01-03,2048,5106,4104,3130,80.71,Delayed
60260,11104,2023-05-01,2023-04-16,2072,5142,4003,3176,679.01,Delayed
60261,11420,2023-04-11,2023-05-06,2091,5051,4085,3194,876.92,On Time
60262,11479,2023-05-31,2023-03-22,2066,5005,4020,3274,746.97,On Time
60263,13915,2023-03-18,2023-02-17,2023,5001,4073,3179,898.37,Delayed
60264,13743,2023-05-25,2023-05-13,2085,5104,4060,3240,933.03,On Time
60265,12957,2023-05-06,2023-06-02,2010,5105,4078,3132,477.07,Delayed
60266,11383,2023-01-22,2023-04-02,2038,5101,4018,3081,713.09,Delayed
60267,12575,2023-03-24,2023-04-12,2059,5128,4097,3161,427.51,On Time
60268,13385,2023-05-21,2023-05-11,2068,5097,4066,3181,923.57,Delayed
60269,11570,2023-03-19,2023-01-16,2085,5049,4031,3269,584.82,Delayed
60270,11895,2023-04-05,2023-02-19,2043,5145,4009,3058,764.83,On Time
60271,12244,2023-04-19,2023-04-23,2012,5095,4148,3191,63.79,On Time
60272,11867,2023-04-20,2023-02-05,2053,5035,4148,3042,596.77,On Time
60273,10029,2023-02-21,2023-04-27,2014,5013,4047,3095,754.89,On Time
60274,10706,2023-04-13,2023-04-05,2052,5116,4001,3089,294.16,Delayed
60275,11021,2023-04-11,2023-01-25,2084,5038,4083,3109,63.66,Delayed
60276,12064,2023-05-22,2023-03-02,2072,5078,4100,3233,756.45,On Time
60277,11447,2023-03-04,2023-03-19,2091,5134,4142,3296,371.18,On Time
60278,13665,2023-01-28,2023-02-18,2061,5063,4129,3102,457.35,On Time
60279,12988,2023-02-15,2023-06-01,2041,5009,4010,3021,583.95,Delayed
60280,13603,2023-01-28,2023-05-21,2021,5023,4142,3083,154.74,Delayed
60281,13686,2023-01-02,2023-02-11,2048,5079,4042,3161,148.38,On Time
60282,13369,2023-05-07,2023-06-07,2056,5118,4124,3198,962.84,On Time
60283,13582,2023-01-17,2023-05-09,2035,5059,4025,3042,371.95,Delayed
60284,12763,2023-02-28,2023-06-01,2044,5114,4095,3037,292.75,On Time
60285,14038,2023-05-12,2023-02-01,2039,5135,4035,3200,95.35,On Time
60286,10573,2023-03-18,2023-05-30,2015,5047,4139,3154,215.23,On Time
60287,14089,2023-05-11,2023-01-25,2012,5089,4010,3039,459.35,Delayed
60288,10615,2023-04-25,2023-01-10,2098,5087,4008,3047,374.97,On Time
60289,14051,2023-04-07,2023-05-31,2008,5075,4105,3110,453.35,On Time
60290,10326,2023-04-15,2023-05-13,2094,5136,4134,3186,718.71,Cancelled
60291,13741,2023-01-24,2023-03-19,2067,5036,4124,3185,659.7,On Time
60292,10359,2023-02-04,2023-05-12,2094,5039,4064,3216,518.5,On Time
60293,13778,2023-01-02,2023-05-01,2093,5065,4046,3110,824.08,On Time
60294,12372,2023-02-02,2023-06-06,2001,5044,4104,3200,864.46,On Time
60295,11722,2023-03-17,2023-04-01,2080,5077,4038,3173,611.27,On Time
60296,11350,2023-03-27,2023-04-28,2042,5080,4086,3004,161.69,On Time
60297,13697,2023-05-18,2023-04-21,2031,5141,4002,3061,435.87,On Time
60298,13897,2023-03-22,2023-05-02,2074,5037,4024,3171,652.74,Delayed
60299,14261,2023-03-03,2023-04-09,2030,5014,4101,3147,109.71,On Time
60300,11597,2023-02-12,2023-01-16,2043,5122,4067,3129,68.91,Delayed
60301,11628,2023-05-01,2023-05-17,2026,5141,4090,3147,950.92,On Time
60302,12503,2023-02-28,2023-02-22,2012,5140,4094,3051,743.56,Delayed
60303,13809,2023-01-09,2023-02-25,2059,5055,4093,3064,195.45,Cancelled
60304,10193,2023-03-18,2023-02-07,2069,5022,4071,3063,472.87,On Time
60305,12675,2023-03-04,2023-05-13,2073,5084,4137,3285,233.88,On Time
60306,13846,2023-02-21,2023-02-25,2011,5147,4016,3043,59.77,Delayed
60307,12578,2023-01-23,2023-01-13,2047,5090,4119,3070,422.11,On Time
60308,10092,2023-01-30,2023-05-28,2023,5015,4108,3256,665.97,On Time
60309,14235,2023-01-21,2023-02-07,2081,5030,4142,3295,956.42,On Time
60310,10481,2023-02-12,2023-01-08,2043,5029,4101,3023,781.34,Delayed
60311,12917,2023-05-15,2023-02-25,2077,5117,4030,3257,268.63,On Time
60312,14436,2023-01-16,2023-01-29,2081,5108,4124,3061,369.4,On Time
60313,11076,2023-01-23,2023-02-07,2087,5115,4056,3207,544.55,On Time
60314,12514,2023-03-28,2023-03-17,2039,5016,4094,3281,231.71,Delayed
60315,10799,2023-01-31,2023-04-25,2073,5082,4032,3132,841.3,On Time
60316,14571,2023-05-01,2023-04-17,2082,5028,4078,3001,209.57,On Time
60317,13950,2023-03-10,2023-06-01,2055,5062,4023,3040,325.47,Cancelled
60318,10605,2023-05-14,2023-04-21,2018,5056,4017,3277,598.72,On Time
60319,12980,2023-04-25,2023-03-26,2094,5075,4122,3247,167.06,Delayed
60320,14917,2023-02-28,2023-01-12,2042,5017,4139,3138,643.38,On Time
60321,10598,2023-05-26,2023-03-08,2026,5021,4041,3017,947.01,On Time
60322,11533,2023-03-18,2023-01-14,2018,5115,4015,3124,706.96,Delayed
60323,10514,2023-05-18,2023-01-16,2085,5029,4091,3091,822.15,Cancelled
60324,11878,2023-01-07,2023-02-26,2041,5068,4052,3246,466.57,On Time
60325,13973,2023-02-06,2023-06-09,2042,5011,4060,3113,397.05,Delayed
60326,13844,2023-03-27,2023-02-23,2033,5082,4057,3126,362.17,Delayed
60327,11700,2023-01-16,2023-03-03,2043,5128,4033,3266,677.44,On Time
60328,11030,2023-04-26,2023-05-09,2014,5117,4149,3241,542.61,Delayed
60329,14596,2023-04-28,2023-02-12,2055,5096,4020,3138,498.7,On Time
60330,10717,2023-01-14,2023-01-30,2058,5074,4113,3246,145.71,Delayed
60331,14087,2023-05-19,2023-06-05,2010,5108,4068,3238,689.7,On Time
60332,10666,2023-03-28,2023-02-14,2028,5138,4101,3009,739.11,On Time
60333,12209,2023-04-14,2023-05-14,2014,5060,4101,3046,236.39,Delayed
60334,11080,2023-05-21,2023-04-24,2083,5026,4033,3124,771.72,Delayed
60335,10228,2023-02-13,2023-04-17,2026,5106,4031,3068,885.42,On Time
60336,10149,2023-01-28,2023-02-08,2074,5025,4022,3132,215.89,On Time
60337,11070,2023-01-16,2023-04-26,2017,5002,4106,3237,479.44,On Time
60338,14728,2023-02-19,2023-05-11,2034,5090,4030,3213,882.38,On Time
60339,11364,2023-04-25,2023-04-20,2014,5084,4005,3059,512.93,On Time
60340,14509,2023-03-09,2023-03-26,2026,5003,4061,3153,824.49,On Time
60341,11756,2023-04-02,2023-02-16,2034,5032,4117,3281,254.97,On Time
60342,10520,2023-05-01,2023-04-03,2083,5001,4013,3082,110.73,On Time
60343,13545,2023-05-20,2023-04-16,2024,5024,4137,3238,106.49,On Time
